Unique transcript lines: 1009; need generation or recovery: 839
Processed 25; failures 0
Processed 50; failures 0
Processed 75; failures 0
Processed 100; failures 0
Processed 125; failures 0
Processed 150; failures 0
Processed 175; failures 0
Processed 200; failures 0
Processed 225; failures 0
Processed 250; failures 0
Processed 275; failures 0
Processed 300; failures 0
Processed 325; failures 0
Processed 350; failures 0
Processed 375; failures 0
Processed 400; failures 0
Processed 425; failures 0
Processed 450; failures 0
Processed 475; failures 0
Processed 500; failures 0
Processed 525; failures 0
Processed 550; failures 0
Processed 575; failures 0
Processed 600; failures 0
Processed 625; failures 0
Processed 650; failures 0
Processed 675; failures 0
Processed 700; failures 0
Processed 725; failures 0
Processed 750; failures 0
Processed 775; failures 0
Processed 800; failures 0
Processed 825; failures 0
Complete: 1009/1009 lines
